Camera Anchor,PositionX,PositionY,PositionZ,RotationY,KeyObject1,KeyObject2,KeyObject3,Description
04月05日,-0.55,1,-0.19,180,Desk,Bookholder,Window,Shelves with various books can be seen in the view. To its right is a desk with a bookholder in front of a window. 
05月05日,-0.55,1,-0.19,225,Desk,Bookholder,Radio,A room features a desk with a bookholder and a radio. The space also has a bookshelf filled with various books; creating a cozy atmosphere.
06月05日,-0.55,1,-0.19,270,Shelf,GhostToy,Radio,A GhostToy is floating beside a shelf in an escape room. The room is filled with various items; including a radio on a shelf. The ghostToy appears to be watching over the room; creating a mysterious atmosphere.
07月05日,-0.55,1,-0.19,315,Shelf,GhostToy,Window,A GhostToy is floating in a room with a shelf and a window. The ghostToy appears to be looking out the window; observing the world outside. The room is filled with various items; including several bottles scattered around; some of which are on the shelf.
6-0,-1.9,1.4,-1.3,0,Shelf,GhostToy,Window,A GhostToy appears to be haunting a kitchen. The kitchen appears to be in a cartoon-like style; and the ghostToy seems to be lurking behind the shelf; possibly waiting to scare someone.
01月06日,-1.9,1.4,-1.3,45,Window,Desk,BookHolder,You are inside a room with a desk. There is a window nearby; and a bookholder is on the desk. The room has a wooden floor; and the overall atmosphere is warm and inviting.
02月06日,-1.9,1.4,-1.3,90,InstructionsPaper,Desk,BookHolder,A piece of instructions paper; a bookholder; and a golden key are present on the desk. The first drawer of the desk has a keyhole on it; which could probably be unlocked by the golden key.
03月06日,-1.9,1.4,-1.3,135,InstructionsPaper,Desk,Window,A wooden desk is seen with a piece of paper featuring instructions. A window is also present in the scene.
04月06日,-1.9,1.4,-1.3,180,Walls,Window,,A window provides a view of the outdoors; with a desk situated next to it.
05月06日,-1.9,1.4,-1.3,225,Shelf,Radio,,There is a shelf with a small radio on it; emitting a broadcast. There are two knobs on the radio; which can be turned to switch the radio on and adjust the volume.
06月06日,-1.9,1.4,-1.3,270,Shelf,Radio,HouseInterior,A radio is placed on a shelf in the interior of a house. The room is filled with various items; creating a cozy atmosphere.
07月06日,-1.9,1.4,-1.3,315,Shelf,GhostToy,Cauldron,A ghost toy is floating next to a shelf in a room. Further to the left is a cauldron which adds to the eerie atmosphere. The room is also filled with various books and potion bottles.
7-0,-3.41,1.44,0.78,0,Wand,InstructionsPaper,,A wand; an instructions paper; and several books are in your view. The wand is floating in a horizontal position; and all objects are placed on the shelf right in front of you.
01月07日,-3.41,1.44,0.78,45,GhostToy,Wand,InstructionsPaper,A wand and instructions paper are on the shelf in the left of your view. A ghost toy is floating in mid-air in the center of your view.
02月07日,-3.41,1.44,0.78,90,GhostToy,Book,HouseInterior,A ghost toy is floating in mid air in the center of your view. Further beyond is the interior of a wooden house.
03月07日,-3.41,1.44,0.78,135,HouseInterior,Painting,GhostToy,This is the interior of a wooden house with many objects inside. From left to right you can see a ghost toy near you; and further away a fireplace; a desk; and several paintings on the wall.
04月07日,-3.41,1.44,0.78,180,Painting,HouseInterior,Desk,This is the interior of a wooden house with many objects inside. From left to right is a wooden desk; several paintings on the wall; and a kitchen table with meat; pumpkin; and cheese on it.
05月07日,-3.41,1.44,0.78,225,Painting,HouseInterior,Cauldron,This is the interior of a wooden house. From left to right are paintings on the wall; a kitchen table; a shelf with many books and potion bottles on it; and a cauldron on a fire stove.
06月07日,-3.41,1.44,0.78,270,Cauldron,Shelf,HouseInterior,This is the interior of a wooden house. Close to your right is a shelf with books; and further away is a kitchen table; a shelf with books and potion bottles; and a cauldron on a fire stove.
07月07日,-3.41,1.44,0.78,315,Cauldron,Wand,InstructionsPaper,Close to your right is a wand and an instructions paper. Further away to your left is a shelf with books and potion bottles; and a large caudron on a fire stove.
8-0,10,0.9,-0.73,0,Tree,Fence,Grass,You are on a hiking trail with fences on both sides on a sunny day. In your view is green grass and trees in a cartoon style.
01月08日,10,0.9,-0.73,45,Tree,Fence,Grass,An outdoor hiking trail with fences on both sides extend to the right of your view. To the left of the trail are cartoon-style trees on a piece of grassland.
02月08日,10,0.9,-0.73,90,Tree,Fence,Grass,A hiking trail with fences on both sides in the middle of your view extends beyond the horizon. On both sides of the trail are grass and trees.
03月08日,10,0.9,-0.73,135,Tree,Fence,Grass,A hiking trail in a field extends to the left of your view. There are fences on both sides of the trail.
04月08日,10,0.9,-0.73,180,Tree,Fence,House,You are facing the fence; grass; and trees from a hiking trail. There seems to be a small house behind a tree.
05月08日,10,0.9,-0.73,225,Tree,Fence,House,A hiking trail leads to a large house on your right with a wooden door. Beyond the fence of the hiking trail are trees and another smaller house.
06月08日,10,0.9,-0.73,270,Tree,Fence,House,A hiking trail leads to a wooden door of a large house right in front of you. On both sides of the trail are fences; trees; and grass.
07月08日,10,0.9,-0.73,315,Tree,Fence,House,A hiking trail leads to a wooden door of a large house in the left of your view. To the right of the trail are fences; trees; and grass.
